Ytrue,SBi-LSTM,SBi-LSTM-XGBoost,SBi-GRU,SBi-GRU-XGBoost
8.0,35.0,11.0,50.0,14.0
18.0,14.0,18.0,36.0,14.0
21.0,33.0,28.0,40.0,25.0
75.0,26.0,65.0,44.0,70.0
44.0,36.0,49.0,48.0,51.0
116.0,43.0,104.0,51.0,105.0
817.0,112.0,812.0,61.0,814.0
4223.0,890.0,4202.0,1669.0,4207.0
3976.0,4102.0,3973.0,5849.0,3985.0
1736.0,3613.0,1743.0,2948.0,1737.0
45.0,2180.0,57.0,1745.0,49.0
27.0,47.0,30.0,53.0,31.0
24.0,36.0,26.0,53.0,24.0
59.0,78.0,58.0,64.0,57.0
60.0,83.0,62.0,72.0,61.0
27.0,86.0,45.0,157.0,33.0
24.0,45.0,24.0,69.0,25.0
29.0,39.0,32.0,66.0,32.0
65.0,42.0,62.0,88.0,70.0
29.0,40.0,39.0,48.0,34.0
40.0,34.0,48.0,44.0,48.0
30.0,25.0,27.0,27.0,26.0
8.0,22.0,12.0,27.0,13.0
6.0,39.0,4.0,43.0,11.0
6.0,62.0,13.0,42.0,6.0
15.0,35.0,14.0,40.0,17.0
62.0,32.0,53.0,43.0,52.0
57.0,40.0,64.0,44.0,59.0
62.0,46.0,55.0,70.0,60.0
121.0,58.0,106.0,111.0,113.0
94.0,37.0,96.0,53.0,96.0
87.0,59.0,86.0,89.0,86.0
51.0,51.0,55.0,81.0,59.0
20.0,34.0,27.0,39.0,26.0
23.0,31.0,23.0,38.0,24.0
6.0,34.0,13.0,34.0,14.0
12.0,30.0,14.0,34.0,14.0
41.0,33.0,37.0,43.0,36.0
14.0,65.0,23.0,42.0,14.0
43.0,35.0,33.0,40.0,31.0
30.0,34.0,24.0,35.0,24.0
64.0,36.0,50.0,44.0,49.0
82.0,36.0,73.0,45.0,73.0
40.0,33.0,38.0,35.0,35.0
15.0,35.0,14.0,40.0,20.0
10.0,35.0,16.0,42.0,21.0
11.0,27.0,12.0,30.0,13.0
3.0,32.0,1.0,39.0,4.0
11.0,37.0,12.0,40.0,12.0
12.0,38.0,21.0,45.0,14.0
35.0,44.0,37.0,112.0,34.0
48.0,80.0,51.0,150.0,56.0
50.0,24.0,50.0,45.0,51.0
56.0,23.0,57.0,42.0,57.0
186.0,22.0,184.0,39.0,179.0
2247.0,175.0,2236.0,39.0,2239.0
3200.0,4755.0,3202.0,3526.0,3199.0
390.0,508.0,388.0,608.0,386.0
42.0,20.0,46.0,46.0,48.0
