Date,Ytrue,SBi-LSTM,SBi-LSTM-XGBoost,SBi-GRU,SBi-GRU-XGBoost
2019-02-28,8.0,31.0,13.0,55.0,13.0
2019-03-31,18.0,30.0,12.0,55.0,12.0
2019-04-30,21.0,33.0,32.0,59.0,32.0
2019-05-31,75.0,34.0,54.0,60.0,42.0
2019-06-30,44.0,57.0,43.0,85.0,43.0
2019-07-31,116.0,43.0,96.0,70.0,94.0
2019-08-31,817.0,80.0,809.0,106.0,808.0
2019-09-30,4223.0,618.0,4205.0,528.0,4207.0
2019-10-31,3976.0,2314.0,3969.0,2237.0,3968.0
2019-11-30,1736.0,2266.0,1736.0,2159.0,1735.0
2019-12-31,45.0,1307.0,53.0,1098.0,52.0
2020-01-31,27.0,44.0,43.0,70.0,46.0
2020-02-29,24.0,37.0,32.0,62.0,33.0
2020-03-31,59.0,36.0,35.0,61.0,36.0
2020-04-30,60.0,50.0,61.0,77.0,60.0
2020-05-31,27.0,50.0,43.0,77.0,44.0
2020-06-30,24.0,37.0,32.0,62.0,33.0
2020-07-31,29.0,36.0,35.0,61.0,36.0
2020-08-31,65.0,37.0,41.0,63.0,44.0
2020-09-30,29.0,52.0,39.0,80.0,38.0
2020-10-31,40.0,37.0,41.0,63.0,44.0
2020-11-30,30.0,41.0,26.0,68.0,29.0
2020-12-31,8.0,38.0,38.0,64.0,39.0
2021-01-31,6.0,30.0,12.0,55.0,12.0
2021-02-28,6.0,29.0,12.0,54.0,11.0
2021-03-31,15.0,29.0,12.0,54.0,11.0
2021-04-30,62.0,32.0,35.0,57.0,35.0
2021-05-31,57.0,51.0,85.0,78.0,85.0
2021-06-30,62.0,49.0,60.0,76.0,63.0
2021-07-31,121.0,51.0,85.0,78.0,85.0
2021-08-31,94.0,83.0,101.0,109.0,101.0
2021-09-30,87.0,68.0,87.0,94.0,87.0
2021-10-31,51.0,64.0,50.0,90.0,51.0
2021-11-30,20.0,46.0,36.0,73.0,32.0
2021-12-31,23.0,34.0,33.0,59.0,33.0
2022-01-31,6.0,35.0,29.0,61.0,29.0
2022-02-28,12.0,29.0,12.0,54.0,11.0
2022-03-31,41.0,31.0,34.0,56.0,34.0
2022-04-30,14.0,42.0,27.0,68.0,29.0
2022-05-31,43.0,32.0,35.0,57.0,35.0
2022-06-30,30.0,43.0,30.0,69.0,30.0
2022-07-31,64.0,38.0,38.0,64.0,39.0
2022-08-31,82.0,52.0,81.0,79.0,82.0
2022-09-30,40.0,61.0,47.0,88.0,46.0
2022-10-31,15.0,41.0,26.0,68.0,29.0
2022-11-30,10.0,32.0,35.0,57.0,35.0
2022-12-31,11.0,31.0,13.0,55.0,13.0
2023-01-31,3.0,31.0,13.0,56.0,13.0
2023-02-28,11.0,28.0,11.0,53.0,10.0
2023-03-31,12.0,31.0,13.0,56.0,13.0
2023-04-30,35.0,31.0,34.0,56.0,34.0
2023-05-31,48.0,39.0,40.0,66.0,41.0
2023-06-30,50.0,45.0,47.0,72.0,47.0
2023-07-31,56.0,46.0,48.0,73.0,48.0
2023-08-31,186.0,48.0,168.0,75.0,167.0
2023-09-30,2247.0,121.0,2238.0,147.0,2238.0
2023-10-31,3200.0,1675.0,3190.0,1441.0,3189.0
2023-11-30,390.0,2108.0,402.0,1907.0,402.0
2023-12-31,42.0,282.0,49.0,269.0,49.0
